 varietyname, experimentalnum, regdate, previousname
5602HR,"BW 297, UGG99-2234",10/14/2004,
NASS,AW 488,12/22/2004,
NORWELL,B89-12-51-1248,2/7/2005,
SOMERSET,"BW 307, RL 4966, 94B95-U5",5/20/2005,
CDC ALSASK,"BW301, W98332",7/18/2005,
HOBSON HRS,W98095,7/18/2005,
HELIOS,"PT211, 9610-AN02E",3/27/2006,
ISIDORE,B89-6-28-883,5/12/2006,
BATISCAN,01SW2.33,6/12/2006,
KANE,"BW 342, 9CBZ5-Z4A",7/25/2006,
KANATA,"BW263, RL4861, 94B46*D70",8/30/2006,
ALVENA,"PT213, B9861, DW016",11/10/2006,
CDC ABOUND,"BW824, IR01013",5/10/2007,
ARCTIC,01SW9.13,6/4/2007,
MÉGANTIC,BS00-708,6/26/2007,
SADASH,"SWS349, 02B-040, 01PR-1417",8/13/2007,
WASKADA,"BW357, 98B19*K156",8/14/2007,
UNITY,"97B64-F9A3, (tested as the varietal blend BW362)",8/24/2007,
GOODEVE,"BW841, B9818B-323C (tested as varietal blend)",10/22/2007,
5702PR,"HY977, 99S3088-05",1/9/2008,
GLENCROSS,"ES 95, 99E03*J22 (tested as varietal blend)",6/3/2008,
PROPEL,"CM790, 96B84-AUIC",6/17/2008,
STETTLER,"BW867, B9962, AR12",10/16/2008,
FIELDSTAR,"97B64-M1B3, (tested as the varietal blend BW365)",11/14/2008,
RICHELIEU,BS02-126,3/6/2009,
MINNEDOSA,"GP018, HW007, W02257",3/6/2009,
GLENN,BW406,3/24/2009,
5400IP,"BW 295, UGG97-2383",4/13/2009,
5603HR,"BW 388, 9852015-02",5/15/2009,
SNOWSTAR,"BW315a, 97B31*B106",5/15/2009,
TOKSON,"CFB124-003, SW 124-003, SQB003, CJX0403",6/10/2009,
WR859 CL,BW859,6/19/2009,
MUCHMORE,"BW875, B0065, BE057",9/18/2009,
CARBERRY,"BW874, B0065, AK043",9/18/2009,
CDN BISON,"ES101, 98E06-AQ1D",9/23/2009,
KAFFE,01SW12.35,10/5/2009,
HY 124-HRS,SW124-029,10/22/2009,
MAGOG,01SW1.30,11/9/2009,
KINGSEY,01SW5.10,12/2/2009,
SHAW,"BA51*B92, (tested as the varietal blend BW394)",12/2/2009,
MAJOR,BS03-250,3/17/2010,
CONQUER,"HY682, W032013 (tested as varietal blend)",6/28/2010,
CDC KERNEN,"BW881, W03602",4/21/2010,
CDC NRG003,"GP003, HW605, UC38-8023",4/21/2010,
CDC STANLEY,"BW880, W04086",4/21/2010,
CDC THRIVE,"PT575, IR0431",4/21/2010,
CDC UTMOST,"BW883, W04112 (tested as the varietal blend)",4/21/2010,
TOURAN,"CFB 15-22, CFB 15-22.30, CFB15-22.30.001A, CJX 145",5/31/2010,
HY 162-HRF,SW162-008,7/26/2010,
NRG010,GP010,9/8/2010,
VESPER,"BW415, BB21-GV5 (tested as varietal blend)",11/15/2010,
WILKIN,ACS54617,11/15/2010,
HY 017-HRS,98S017-01,2/16/2011,
5604HR CL,BW878,2/21/2011,
DUO,"F4Q.W.623.4, QW.623.4, CRGB-O-623.4",2/21/2011,
FURANO,BS03-244,4/8/2011,
FUZION,W984-8767,4/8/2011,
PASTEUR,GP 032,7/6/2011,
CARDALE,"BW429, BA77-BM-19",8/2/2011,
