E,SD,WR,FA,MI,FP,TL,PC,S_n,s_mean,s_sd
"2012 MARSHALL, OK",292,0,0,0,0,1,WHE,92,2.8375413,0.875382681
"2012 MCLOUD, OK",292,0,1,0,0,1,MAI,82,4.422777896,0.835299291
"2012 OLUSTEE, OK",297,0,0,0,0,0,WHE,88,1.886715168,0.356297912
"2012 ORCHARD, CO",NA,0,0,0,0,NA,NA,126,3.341659461,0.313316754
"2012 PARSONS, KS",287,0,0,0,0,NA,MAI,80,4.408683591,0.748746622
"2012 ROCKY FORD, CO",NA,1,0,0,0,NA,NA,96,7.167114997,0.88022155
"2012 ROGGEN, CO",NA,0,0,0,0,NA,NA,125,1.285971755,0.626459134
"2012 SHERIDAN LAKE, CO",NA,0,0,0,0,NA,NA,126,1.586180762,0.336283364
"2012 THOMAS, OK",273,0,0,0,0,1,WHE,86,1.703242051,0.751931804
"2012 TRIBUNE, KS",263,0,0,0,0,NA,FAL,152,2.649624573,0.689131668
"2012 WELLINGTON, KS",NA,0,0,0,0,NA,NA,72,4.433796608,0.497432005
"2012 YUMA, CO",NA,0,0,0,0,NA,NA,126,4.11929847,0.49366198
"2013 AFTON, OK",285,0,0,0,0,1,MAI,83,3.157825654,0.914368334
"2013 AKRON, CO",NA,0,0,0,0,NA,NA,119,1.180595977,0.487479401
"2013 ALTUS, OK",282,0,0,0,0,1,FAL,152,0.893931618,0.361050179
"2013 ANDALE, KS",NA,0,0,0,0,NA,NA,84,3.813286579,0.680188246
"2013 APACHE, OK",283,0,0,0,0,0,WHE,84,2.706495981,0.535414067
"2013 APACHE, OK",283,0,1,0,0,0,WHE,84,3.075927883,0.550818678
"2013 ARKCITY, KS",NA,0,0,0,0,NA,NA,39,3.372961713,0.610569146
"2013 BELLEVILLE, KS",277,0,0,0,0,NA,FAL,81,5.731109949,0.555669417
"2013 BELOIT, KS",276,0,0,0,0,NA,WHE,81,5.354139165,0.666070063
"2013 BURLINGTON, CO",NA,0,0,0,0,NA,NA,118,0.725838624,0.199497593
"2013 CHATTANOOGA, OK",283,0,0,0,0,0,WHE,88,1.451351104,0.467400304
"2013 CHICKASHA, OK",292,0,0,0,0,1,ALF,160,4.643615501,0.700482391
"2013 CLEARWATER, KS",NA,0,0,0,0,NA,NA,78,4.59831359,0.646882934
"2013 COLBY, KS",268,1,0,0,0,NA,FAL,112,5.777230786,0.922062044
"2013 COLBY, KS",269,0,0,0,0,NA,FAL,152,2.693594196,0.472050783
"2013 CONWAY SPRINGS, KS",278,0,0,0,0,NA,FAL,112,2.637633298,0.45853512
"2013 ELLSWORTH, KS",287,0,0,0,0,NA,FAL,112,2.686665386,0.34625217
"2013 FORT COLLINS, CO",NA,1,0,0,0,NA,NA,90,4.802510648,0.808090226
"2013 GARDEN CITY, KS",278,0,0,0,0,NA,FAL,141,1.091635784,0.309839647
"2013 GARDEN CITY, KS",278,1,0,0,0,NA,MAI,84,2.704630608,0.646586859
"2013 GOODWELL, OK",282,1,0,0,0,1,FAL,168,2.838689275,0.621360884
"2013 GYPSUM, KS",293,0,0,0,0,NA,FAL,112,3.942465655,0.597704287
"2013 HAXTUN, CO",NA,1,0,0,0,NA,NA,83,7.969146255,0.586603722
"2013 HAYS, KS",267,0,0,0,0,NA,FAL,76,4.161660299,0.500506779
"2013 HOMESTEAD, OK",296,0,0,0,0,0,SOR,85,3.756802089,0.51150666
"2013 HOOKER, OK",279,0,0,0,0,0,WHE,90,1.892811776,0.307122227
"2013 HUTCHINSON, KS",276,0,0,0,0,NA,FAL,112,2.741106461,0.400372959
"2013 JULESBURG, CO",NA,0,0,0,0,NA,NA,120,2.42983636,0.27681172
"2013 KILDARE, OK",297,0,0,0,0,0,WHE,92,3.548902079,0.730419081
"2013 KINGFISHER, OK",278,0,0,0,0,1,WHE,88,2.697896925,0.379189557
"2013 LAHOMA, OK",279,0,0,0,0,1,WHE,119,4.139997626,0.438755712
"2013 LAHOMA, OK",279,0,1,0,0,1,WHE,120,4.664587536,0.457674887
"2013 LAMAR, CO",NA,0,0,0,0,NA,NA,120,1.519670477,0.172184187
"2013 LARNED, KS",273,0,0,0,0,NA,SOR,140,3.046142761,0.530758896
"2013 MANHATTAN, KS",279,0,0,0,0,NA,SOY,72,3.333772323,0.367337159
"2013 MARSHALL, OK",261,0,0,0,1,1,WHE,92,3.127196573,0.344904867
"2013 MARSHALL, OK",NA,0,0,0,0,1,NA,92,3.485862986,0.421942427
"2013 MCLOUD, OK",NA,0,1,0,0,1,NA,88,3.646726172,0.66961999
"2013 MOUNDRIDGE, KS",276,0,0,0,0,NA,FAL,112,3.160988087,0.511441265
"2013 ORCHARD, CO",NA,0,0,0,0,NA,NA,120,2.232403049,0.327767008
"2013 OTTAWA, KS",283,0,0,0,0,NA,SOR,80,4.195166443,0.431255869
"2013 OXFORD, KS",NA,0,0,0,0,NA,NA,39,1.596067511,0.134118964
"2013 PARSONS, KS",283,0,0,0,0,NA,MAI,80,3.098074983,0.39247228
"2013 ROGGEN, CO",NA,0,0,0,0,NA,NA,120,2.006332661,0.423863737
"2013 SCOTT CITY, KS",278,1,0,0,0,NA,FAL,112,1.121679556,0.511028698
"2013 THOMAS, OK",290,0,0,0,0,1,CAN,88,1.006365776,0.212971934
"2013 TRIBUNE, KS",282,0,0,0,0,NA,FAL,152,2.067903036,0.550982007
"2013 WAKEENEY, KS",267,0,0,0,0,NA,SOR,152,2.340415177,0.514582394
"2013 WALSH, CO",NA,0,0,0,0,NA,NA,116,1.111645757,0.460575243
"2013 YUMA, CO",NA,0,0,0,0,NA,NA,120,1.533456624,0.29239573
"2014 AFTON, OK",298,0,0,0,0,1,MAI,86,3.755774855,0.50939024
"2014 AKRON, CO",269,0,0,0,0,NA,NA,132,4.414725602,0.926658344
"2014 ANDALE, KS",NA,0,0,0,0,NA,NA,63,3.786107125,0.311232572
"2014 BALKO, OK",268,0,0,0,0,0,FAL,102,0.914988726,0.197123606
"2014 BELLE PLAINE, KS",NA,0,0,0,0,NA,NA,63,2.656026631,0.535343146
"2014 BELLEVILLE, KS",274,0,0,0,0,NA,FAL,84,5.005607819,0.630051191
"2014 BURLINGTON, CO",267,0,0,0,0,NA,NA,132,3.087770781,0.542068451
"2014 CALDWELL, KS",NA,0,0,0,0,NA,NA,63,1.773393518,0.302998966
"2014 CHICKASHA, OK",295,0,0,0,0,1,OTH,157,2.909530153,0.439173194
"2014 CHICKASHA, OK",295,0,1,1,0,1,OTH,166,2.912972671,0.545893151
"2014 CLEARWATER, KS",NA,0,0,0,0,NA,NA,62,2.37485219,0.311540614
"2014 COLBY, KS",266,1,0,0,0,NA,FAL,136,6.65404747,0.665954384
"2014 COLBY, KS",267,0,0,0,0,NA,FAL,152,2.934534414,0.401054451
"2014 CONWAY SPRINGS, KS",281,0,0,0,0,NA,FAL,112,2.385255548,0.288856391
"2014 ELLSWORTH, KS",282,0,0,0,0,NA,FAL,128,3.58308465,0.630413518
"2014 FORT COLLINS, CO",275,1,0,0,0,NA,NA,90,6.812000299,0.627633556
"2014 GARDEN CITY, KS",281,1,0,0,0,NA,MAI,96,4.957600594,1.056463944
"2014 GOODWELL, OK",280,1,0,0,0,1,FAL,176,4.185195941,0.83280199
"2014 GYPSUM, KS",283,0,0,0,0,NA,FAL,128,3.883395679,0.534200389
"2014 HAXTUN, CO",296,1,0,0,0,NA,NA,84,7.665882089,0.77705348
"2014 HAYS, KS",274,0,0,0,0,NA,FAL,152,2.467983123,0.444455609
"2014 HOMESTEAD, OK",295,0,0,0,0,0,WHE,104,1.760908644,0.364390762
"2014 HOOKER, OK",268,0,0,0,0,0,FAL,96,2.500161119,0.614537823
"2014 HUTCHINSON, KS",296,0,0,0,0,NA,FAL,112,3.212244212,0.485457769
"2014 JULESBURG, CO",269,0,0,0,0,NA,NA,132,5.610900532,1.003560609
"2014 KINGFISHER, OK",283,0,0,0,0,1,WHE,96,2.397731731,0.527904801
"2014 LAHOMA, OK",282,0,0,0,0,1,WHE,173,3.141029578,0.502625526
"2014 LAHOMA, OK",282,0,1,0,0,1,WHE,175,2.97843789,0.431918525
"2014 LAMAR, CO",266,0,0,0,0,NA,NA,132,1.644759634,0.282171661
"2014 LARNED, KS",280,0,0,0,0,NA,SOR,136,1.20389691,0.273222311
"2014 MANHATTAN, KS",297,0,0,0,0,NA,SOY,84,4.389870945,0.407818515
"2014 MARSHALL, OK",266,0,0,0,1,1,WHE,96,1.207646828,0.260102053
"2014 MARSHALL, OK",294,0,0,0,0,1,WHE,94,1.534612028,0.271136538
"2014 MCLOUD, OK",323,0,0,0,0,1,SOY,92,2.207903278,0.234781285
"2014 MOUNDRIDGE, KS",290,0,0,0,0,NA,FAL,112,1.953898069,0.329867792
"2014 ORCHARD, CO",274,0,0,0,0,NA,NA,132,3.861802286,0.482209011
"2014 OTTAWA, KS",281,0,0,0,0,NA,SOR,76,5.993505115,0.325964136
"2014 PARSONS, KS",298,0,0,0,0,NA,MAI,57,2.811347468,0.423906161
"2014 ROGGEN, CO",275,0,0,0,0,NA,NA,108,5.406797181,0.684026169
"2014 SCOTT CITY, KS",276,1,0,0,0,NA,FAL,136,5.735887496,0.985630315
"2014 SHERIDAN LAKE, CO",262,0,0,0,0,NA,NA,132,2.61167492,0.532110975
"2014 THOMAS, OK",290,0,0,0,0,1,WHE,96,0.88671262,0.258163317
"2014 TRIBUNE, KS",269,0,0,0,0,NA,FAL,144,3.25235257,0.550830904
"2014 WAKEENEY, KS",269,0,0,0,0,NA,SOR,152,2.020811595,0.246917375
"2014 WALSH, CO",275,0,0,0,0,NA,NA,132,2.365551955,0.713205906
"2014 WALTERS, OK",267,0,0,0,1,0,CAN,92,1.972215725,0.431074979
"2014 YUMA, CO",263,0,0,0,0,NA,NA,132,4.752093905,0.657937413
"2015 AFTON, OK",280,0,1,0,0,0,MAI,88,4.170332274,0.774712196
"2015 AKRON, CO",261,0,1,0,0,NA,NA,132,2.983890689,1.301050986
"2015 ALTUS, OK",282,0,0,0,0,1,FAL,195,2.919717897,0.568004555
"2015 ALVA, OK",297,0,0,0,0,1,WHE,99,3.117618689,0.568736113
"2015 ANDALE, KS",NA,0,0,0,0,NA,NA,84,4.438833224,0.781767857
"2015 APACHE, OK",296,0,0,0,0,0,WHE,88,2.951412239,0.584605147
"2015 APACHE, OK",296,0,1,0,0,0,WHE,88,4.005777343,0.510726666
"2015 ARKCITY, KS",NA,0,0,0,0,NA,NA,84,4.034500768,0.602035794
"2015 BALKO, OK",275,0,1,0,0,0,FAL,95,4.662542031,0.63882099
"2015 BELLE PLAINE, KS",NA,0,0,0,0,NA,NA,78,3.425217454,0.485935301
"2015 BELLEVILLE, KS",281,0,0,0,0,NA,FAL,90,2.908167078,0.758788793
"2015 BELOIT, KS",290,0,0,0,0,NA,WHE,90,4.703728611,1.063850687
"2015 BUFFALO, OK",288,0,0,0,0,0,WHE,96,3.830545281,0.606286492
"2015 BURLINGTON, CO",259,0,1,0,0,NA,NA,132,4.720048501,0.771380139
"2015 CALDWELL, KS",NA,0,0,0,0,NA,NA,75,2.617758124,0.554554587
"2015 CHEROKEE, OK",272,0,0,0,1,1,WHE,100,3.200248823,0.532392641
"2015 CHICKASHA, OK",294,0,0,0,0,1,OTH,200,3.028520511,0.949510715
"2015 CHICKASHA, OK",294,0,1,1,0,1,OTH,200,4.729498991,0.596595727
"2015 CLEARWATER, KS",NA,0,0,0,0,NA,NA,83,2.845261952,0.754171269
"2015 COLBY, KS",265,0,0,0,0,NA,FAL,90,1.5520433,0.710728887
"2015 COLBY, KS",265,1,0,0,0,NA,FAL,124,4.39846016,1.37109819
"2015 CONWAY SPRINGS, KS",279,0,0,0,0,NA,FAL,128,2.383594275,0.360391717
"2015 DODGE CITY, KS",272,0,0,0,0,NA,FAL,144,3.966682576,0.45979288
"2015 ELLSWORTH, KS",280,0,0,0,0,NA,FAL,124,3.664199247,0.766316758
"2015 FORT COLLINS, CO",265,1,0,0,0,NA,NA,96,5.893647725,1.120152765
"2015 GARDEN CITY, KS",272,1,0,0,0,NA,MAI,124,5.999083493,1.345422465
"2015 GENOA, CO",263,0,0,0,0,NA,NA,132,2.345682786,0.732962013
"2015 GOODWELL, OK",279,1,0,0,0,1,FAL,200,4.291768662,1.178004917
"2015 GYPSUM, KS",301,0,0,0,0,NA,FAL,124,3.567594047,0.755418562
"2015 HAXTUN, CO",289,1,1,0,0,NA,NA,96,3.465940933,0.896461317
"2015 HAYS, KS",279,0,0,0,0,NA,FAL,136,4.620114583,0.698042286
"2015 HOMESTEAD, OK",290,0,0,0,0,0,WHE,96,1.789600146,0.339690406
"2015 HOOKER, OK",268,0,0,0,0,0,FAL,108,3.415116192,0.80774286
"2015 HUTCHINSON, KS",294,0,0,0,0,NA,FAL,128,2.111431613,0.603483165
"2015 JULESBURG, CO",265,0,0,0,0,NA,NA,132,4.539086222,0.81887721
"2015 KEYES, OK",268,0,0,0,0,0,FAL,96,5.320710043,1.270836877
"2015 KILDARE, OK",293,0,0,0,0,0,WHE,104,2.824989654,0.608369025
"2015 KINGFISHER, OK",281,0,0,0,0,1,WHE,92,3.769955557,0.464851968
"2015 LAHOMA, OK",293,0,0,0,0,1,WHE,215,3.388254797,0.690344381
"2015 LAHOMA, OK",293,0,1,0,0,1,WHE,216,4.459052529,0.511282812
"2015 LAMAR, CO",258,0,1,0,0,NA,NA,132,1.897556602,0.422158934
"2015 LARNED, KS",270,0,1,0,0,NA,SOR,144,4.946094295,0.837595548
"2015 MANHATTAN, KS",303,0,0,0,0,NA,SOY,80,3.651843053,0.559067816
"2015 MARSHALL, OK",255,0,0,0,1,1,WHE,88,2.323072691,0.508207623
"2015 MARSHALL, OK",297,0,0,0,0,1,WHE,80,2.502362139,0.606153031
"2015 MCLOUD, OK",297,0,0,0,0,1,MAI,92,3.755138739,0.661310239
"2015 MOUNDRIDGE, KS",279,0,0,0,0,NA,FAL,128,4.22789742,0.652435756
"2015 ORCHARD, CO",266,0,1,0,0,NA,NA,88,6.786314728,0.893019618
"2015 OTTAWA, KS",294,0,0,0,0,NA,SOR,60,3.524391247,0.720120116
"2015 PARSONS, KS",302,0,0,0,0,NA,MAI,60,3.112318643,0.664393787
"2015 ROGGEN, CO",266,0,1,0,0,NA,NA,132,3.589492776,1.146147585
"2015 SCOTT CITY, KS",267,1,0,0,0,NA,FAL,124,4.827353732,0.814097222
"2015 SHERIDAN LAKE, CO",258,0,0,0,0,NA,NA,132,4.040879542,0.933945347
"2015 THOMAS, OK",304,0,0,0,0,1,WHE,91,2.02038177,0.653341344
"2015 TRIBUNE, KS",269,0,0,0,0,NA,FAL,136,4.952467468,1.109902646
"2015 UNION CITY, OK",266,0,0,0,1,1,CAN,91,2.395663516,0.73615832
"2015 WAKEENEY, KS",271,0,1,0,0,NA,SOR,136,3.877855968,0.714692385
"2015 WALTERS, OK",261,0,0,0,1,0,CAN,75,1.745509975,0.532800336
"2015 YUMA, CO",265,0,1,0,0,NA,NA,132,6.025401969,0.937721196
"2016 AFTON, OK",273,0,0,0,0,0,MAI,79,2.661232794,0.428025711
"2016 ALTUS, OK",302,0,0,0,0,1,WHE,188,2.945449212,0.710729425
"2016 ALVA, OK",294,0,0,0,0,1,WHE,108,3.643035941,0.457939439
"2016 ANDALE, KS",NA,0,0,0,0,NA,NA,87,3.964551013,0.314974263
"2016 APACHE, OK",286,0,0,0,0,0,WHE,80,4.09433423,0.844914235
"2016 APACHE, OK",286,0,1,0,0,0,WHE,72,4.830774116,0.801116775
"2016 ARAPAHOE, CO",259,0,0,0,0,NA,NA,138,6.031451322,0.704162832
"2016 ARGONIA, KS",NA,0,0,0,0,NA,NA,70,3.384119512,0.625563043
"2016 ARKCITY, KS",NA,0,0,0,0,NA,NA,87,2.577070241,0.476434225
"2016 BELLEVILLE, KS",273,0,0,0,0,NA,FAL,105,5.401095206,1.478674934
"2016 BELOIT, KS",NA,0,0,0,0,NA,WHE,105,5.057162071,0.689001296
"2016 BUFFALO, OK",285,0,0,0,0,0,WHE,96,4.903377886,0.64483904
"2016 CALDWELL, KS",NA,0,0,0,0,NA,NA,56,4.440147949,0.463149629
"2016 CHEROKEE, OK",NA,0,1,0,1,1,NA,100,4.270753194,0.657629766
"2016 CHICKASHA, OK",293,0,0,0,0,1,OTH,188,4.047149766,1.1022147
"2016 CHICKASHA, OK",293,0,1,1,0,1,OTH,181,5.643949217,0.792933364
"2016 CLEARWATER, KS",NA,0,0,0,0,NA,NA,87,4.36702765,0.487356316
"2016 COLBY, KS",271,1,0,0,0,NA,FAL,156,8.157190035,0.808965348
"2016 COLBY, KS",272,0,0,0,0,NA,FAL,147,5.346627086,0.787304257
"2016 CONWAY SPRINGS, KS",286,0,0,0,0,NA,FAL,132,4.542856269,0.686310883
"2016 CONWAY SPRINGS, KS",286,0,1,1,0,NA,NA,132,4.920625217,0.69044357
"2016 DECATUR, KS",NA,0,0,0,0,NA,SOR,148,6.074389302,1.009034452
"2016 ELLSWORTH, KS",282,0,0,0,0,NA,FAL,105,3.540812614,0.803516351
"2016 ELLSWORTH, KS",282,0,1,1,0,NA,NA,105,4.541662358,0.775270634
"2016 FORT COLLINS, CO",266,1,1,0,0,NA,NA,96,5.080769446,0.938574436
"2016 GARDEN CITY, KS",277,1,1,0,0,NA,MAI,156,7.835985519,0.854409248
"2016 GOODWELL, OK",286,1,0,0,0,1,FAL,196,5.509696279,0.833179573
"2016 GYPSUM, KS",286,0,1,0,0,NA,FAL,140,5.190268037,0.525813911
"2016 HAXTUN, CO",287,1,1,0,0,NA,NA,96,6.237110513,0.765029877
"2016 HAYS, KS",295,0,0,0,0,NA,FAL,148,5.505094928,1.217687381
"2016 HEALY, KS",266,1,1,0,0,NA,FAL,156,5.379301295,0.840799322
"2016 HOMESTEAD, OK",281,0,0,0,0,0,FAL,92,5.427005058,0.77987724
"2016 HOOKER, OK",301,0,0,0,0,0,FAL,99,3.391466786,0.80950081
"2016 HUTCHINSON, KS",281,0,1,0,0,NA,CAN,172,3.750427879,0.453375961
"2016 JULESBURG, CO",267,0,1,0,0,NA,NA,138,6.053039385,0.485773779
"2016 KILDARE, OK",288,0,0,0,0,0,WHE,100,3.457262946,0.749435316
"2016 LAHOMA, OK",300,0,0,0,0,1,WHE,200,4.411792199,0.76838483
"2016 LAHOMA, OK",300,0,1,0,0,1,WHE,200,5.372505044,0.558713646
"2016 LAMAR, CO",258,0,1,0,0,NA,NA,138,3.986676803,0.593825427
"2016 LAMONT, OK",279,0,1,0,0,1,WHE,104,4.571963427,0.952253112
"2016 LARNED, KS",273,0,1,0,0,NA,SOR,160,6.358340026,1.317160744
"2016 MANHATTAN, KS",282,0,0,0,0,NA,SOY,66,3.245195737,0.555937112
"2016 MANHATTAN, KS",293,0,1,0,0,0,SOY,96,1.841235555,0.411685218
"2016 MARSHALL, OK",258,0,0,0,1,1,WHE,100,2.842138534,0.684262011
"2016 MARSHALL, OK",288,0,0,0,0,1,WHE,100,3.239710827,0.84136056
"2016 MEADE, KS",273,0,0,0,0,NA,FAL,160,6.929426236,0.815837835
"2016 MOUNDRIDGE, KS",280,0,0,0,0,NA,FAL,132,4.045108109,0.881403656
"2016 MOUNDRIDGE, KS",280,0,1,1,0,NA,NA,132,4.302337429,1.007755667
"2016 NEWTON, KS",NA,0,0,0,0,NA,NA,83,3.628969138,0.400349137
"2016 ORCHARD, CO",267,0,1,0,0,NA,NA,138,3.211796926,0.404124506
"2016 PARSONS, KS",288,0,0,0,0,NA,MAI,88,4.463624509,0.492855712
"2016 ROCKY FORD, CO",274,1,0,0,0,NA,NA,96,6.549260256,0.843436893
"2016 ROGGEN, CO",266,0,1,0,0,NA,NA,138,6.685135912,0.696570815
"2016 SHERIDAN LAKE, CO",258,0,1,0,0,NA,NA,138,6.909252166,0.591900218
"2016 THOMAS, OK",275,0,1,0,0,1,WHE,84,4.458305313,1.0131602
"2016 TRIBUNE, KS",286,0,0,0,0,NA,FAL,148,4.554591557,0.616631923
"2016 UNION CITY, OK",274,0,0,0,1,1,WHE,96,3.903279814,0.676198981
"2016 WALSH, CO",274,0,0,0,0,NA,NA,138,3.81811448,0.549109157
"2016 WALTERS, OK",254,0,0,0,1,0,CAN,76,2.132808905,0.529635083
"2016 YUMA, CO",267,0,1,0,0,NA,NA,136,5.506101903,0.808934583
"2017 AFTON, OK",278,0,0,0,0,0,MAI,118,2.159991109,0.4725441
"2017 AKRON, CO",258,0,0,0,0,NA,NA,138,6.336949212,0.751557182
"2017 ALTUS, OK",294,0,0,0,0,1,WHE,187,1.993257069,0.423315496
"2017 ALVA, OK",288,0,0,0,0,1,WHE,120,3.892664201,0.457553116
"2017 APACHE, OK",284,0,0,0,0,0,CAN,88,4.172984044,0.66573119
"2017 APACHE, OK",284,0,1,0,0,0,CAN,88,4.532554869,0.730649597
"2017 ARAPAHOE, CO",257,0,0,0,0,NA,NA,136,3.747774833,1.009119332
"2017 BALKO, OK",282,0,0,0,0,0,FAL,133,2.206830122,0.537521796
"2017 BELLEVILLE, KS",277,0,0,0,0,NA,FAL,160,5.938971083,0.717282518
"2017 BELOIT, KS",288,0,0,0,0,NA,WHE,160,4.941577001,0.775759671
"2017 BUFFALO, OK",287,0,0,0,0,0,FAL,57,5.115975885,0.5841983
"2017 BURLINGTON, CO",257,0,0,0,0,NA,NA,135,5.8903086,0.993962277
"2017 BURLINGTON, CO",285,1,0,0,0,NA,NA,96,7.196396548,0.886354034
"2017 CHEROKEE, OK",292,0,1,0,0,1,WHE,116,4.822594671,0.598124697
"2017 CHICKASHA, OK",295,0,0,0,0,1,OTH,185,1.925116778,0.5434114
"2017 CHICKASHA, OK",295,0,1,1,0,1,OTH,188,3.249431241,0.529846031
"2017 CONWAY SPRINGS, KS",285,0,0,0,0,NA,FAL,144,4.329062631,0.562454445
"2017 CONWAY SPRINGS, KS",285,0,1,1,0,NA,NA,144,4.757480853,0.537184841
"2017 ELLSWORTH, KS",281,0,0,0,0,NA,WHE,114,5.879686987,0.771282622
"2017 ELLSWORTH, KS",281,0,1,1,0,NA,WHE,114,6.548295946,0.898054956
"2017 FORT COLLINS, CO",270,1,0,0,0,NA,NA,105,6.434303647,0.845806752
"2017 GOODWELL, OK",280,1,0,0,0,1,FAL,211,3.217285989,0.601507609
"2017 HAXTUN, CO",289,1,0,0,0,NA,NA,96,5.027180004,0.918478756
"2017 HOMESTEAD, OK",285,0,0,0,0,1,FAL,101,3.241419031,0.481868165
"2017 HUTCHINSON, KS",287,0,1,0,0,NA,CAN,192,6.499804656,0.618119364
"2017 JULESBURG, CO",258,0,0,0,0,NA,NA,138,3.936483339,0.60800974
"2017 KILDARE, OK",291,0,0,0,0,0,WHE,100,3.244431742,0.580401715
"2017 KINGFISHER, OK",277,0,0,0,0,1,WHE,81,1.467550043,0.384796515
"2017 LAHOMA, OK",293,0,0,0,0,1,WHE,220,3.985422143,0.817686974
"2017 LAHOMA, OK",293,0,1,0,0,1,WHE,221,5.067815487,0.63792948
"2017 MANHATTAN, KS",292,0,1,0,0,NA,SOY,92,5.930761513,0.709286646
"2017 MANHATTAN, KS",322,0,0,0,0,0,SOY,117,2.476269405,0.406001928
"2017 MARSHALL, OK",256,0,0,0,1,1,WHE,89,1.4205587,0.501905841
"2017 MARSHALL, OK",287,0,0,0,0,1,WHE,96,1.981555425,0.607984879
"2017 MOUNDRIDGE, KS",285,0,0,0,0,NA,WHE,144,4.572722797,0.596649511
"2017 MOUNDRIDGE, KS",285,0,1,1,0,NA,NA,144,5.176365761,0.626058144
"2017 ORCHARD, CO",260,0,0,0,0,NA,NA,138,3.162139509,0.565719392
"2017 OTTAWA, KS",294,0,0,0,0,NA,SOY,80,2.938557262,0.70514579
"2017 PARSONS, KS",301,0,0,0,0,NA,MAI,80,3.838419892,0.588233076
"2017 ROGGEN, CO",272,0,0,0,0,NA,NA,138,4.673401363,0.530022924
"2017 SHERIDAN LAKE, CO",257,0,1,0,0,NA,NA,138,4.559613267,0.646136928
"2017 THOMAS, OK",286,0,0,0,0,1,WHE,96,4.019145091,0.60402221
"2017 TRIBUNE, KS",274,0,0,0,0,NA,FAL,148,2.978857811,0.823343266
"2017 UNION CITY, OK",258,0,0,0,1,1,WHE,87,2.477749693,0.665484309
"2017 WALTERS, OK",279,0,0,0,1,0,CAN,80,1.163113652,0.267301198
"2017 YUMA, CO",258,0,0,0,0,NA,NA,134,4.526643849,0.888049384
"2018 AFTON, OK",293,0,0,0,0,1,MAI,120,2.736213853,0.668764732
"2018 AKRON, CO",281,0,0,0,0,NA,NA,168,5.697313223,0.536382756
"2018 ALTUS, OK",296,0,0,0,0,1,WHE,138,0.997997135,0.433173297
"2018 ALVA, OK",290,0,0,0,0,1,WHE,133,0.887632666,0.311037542
"2018 ANDALE, KS",NA,0,0,0,0,NA,NA,120,3.648882469,0.338405262
"2018 ANTHONY, KS",NA,0,0,0,0,NA,NA,116,3.134069356,0.537547248
"2018 APACHE, OK",292,0,0,0,0,0,SOY,120,2.112172159,0.487564207
"2018 APACHE, OK",NA,0,1,0,0,0,NA,120,2.116050213,0.45104115
"2018 ARAPAHOE, CO",263,0,0,0,0,NA,NA,168,4.114908573,0.499719308
"2018 BALKO, OK",286,0,0,0,0,0,FAL,175,2.397582861,0.503008955
"2018 BELLE PLAINE, KS",NA,0,0,0,0,NA,NA,113,3.220944119,0.680880444
"2018 BELLEVILLE, KS",292,0,0,0,0,NA,FAL,184,2.989856556,0.394083158
"2018 BELOIT, KS",292,0,0,0,0,NA,FAL,184,1.939112767,0.26558972
"2018 BUFFALO, OK",289,0,0,0,0,0,FAL,72,2.084164612,0.379268928
"2018 BURLINGTON, CO",263,0,0,0,0,NA,NA,168,5.483916162,0.602552107
"2018 CALDWELL, KS",NA,0,0,0,0,NA,NA,110,2.780930685,0.372629998
"2018 CHEROKEE, OK",283,0,0,0,0,1,WHE,144,1.936126989,0.646146011
"2018 CHICKASHA, OK",303,0,0,0,0,1,OTH,189,3.809929441,0.657815171
"2018 CHICKASHA, OK",303,0,1,1,0,1,OTH,191,4.870923219,0.58669995
"2018 CLEARWATER, KS",NA,0,0,0,0,NA,NA,120,3.502545469,0.493133853
"2018 COLBY, KS",286,0,0,0,0,NA,FAL,208,3.066437057,0.525780876
"2018 COLBY, KS",286,1,0,0,0,NA,FAL,168,6.745610036,0.512296764
"2018 CONWAY SPRINGS, KS",291,0,0,0,0,NA,FAL,106,3.304843233,0.23467025
"2018 CONWAY SPRINGS, KS",291,0,1,1,0,NA,FAL,106,3.507575085,0.240393126
"2018 DECATUR, KS",288,0,0,0,0,NA,FAL,204,2.326407295,0.340368468
"2018 FORT COLLINS, CO",265,1,0,0,0,NA,NA,135,6.927196194,0.544016384
"2018 GARDEN CITY, KS",287,1,0,0,0,NA,MAI,176,5.105661949,0.704841939
"2018 GOODWELL, OK",285,1,0,0,0,1,FAL,200,5.402249496,0.714778838
"2018 GREAT BEND, KS",285,0,0,0,0,0,WHE,74,4.862559937,0.644909275
"2018 GREAT BEND, KS",285,0,1,1,0,0,WHE,85,5.23109144,0.693014825
"2018 GYPSUM, KS",291,0,0,0,0,NA,FAL,188,2.744387529,0.282261014
"2018 HAXTUN, CO",296,1,0,0,0,NA,NA,114,5.339845916,0.447199127
"2018 HAYS, KS",276,0,0,0,0,NA,FAL,204,3.072666398,0.555093389
"2018 HOMESTEAD, OK",NA,0,0,0,0,1,NA,125,0.947776732,0.356791671
"2018 HOOKER, OK",285,0,0,0,0,0,FAL,164,2.366247314,0.417551318
"2018 HUTCHINSON, KS",298,0,0,0,0,NA,FAL,212,1.91272552,0.40569024
"2018 JULESBURG, CO",281,0,0,0,0,NA,NA,168,4.378822814,0.35522749
"2018 KEYES, OK",285,0,0,0,0,0,FAL,152,2.004154426,0.337464301
