"Region","YOR","G","BLUP"
"Alberta",2015,"JATHARIA",3.95720686711017
"Alberta",2006,"KANATA",3.2585187012512
"Manitoba",2006,"KANE",3.67081778930237
"Alberta",2006,"KANE",3.67081778930237
"Alberta",1981,"KATEPWA",3.42242944399519
"Manitoba",2010,"KERNEN",3.70426792062724
"Alberta",2010,"KERNEN",3.70426792062724
"Manitoba",2016,"LANDMARK",3.82326368528891
"Alberta",2016,"LANDMARK",3.82326368528891
"Manitoba",2018,"LEROY",3.88249080567891
"Alberta",2018,"LEROY",3.88249080567891
"Alberta",2003,"LILLIAN",3.6325007315451
"Alberta",2002,"LOVITT",3.48664904238309
"Manitoba",2018,"MAGNET",3.68668452808315
"Alberta",2018,"MAGNET",3.68668452808315
"Alberta",1996,"MAJESTIC",3.51242432176908
"Manitoba",2021,"MANNESS",3.900855069626
"Alberta",2021,"MANNESS",3.900855069626
"Alberta",1997,"MCKENZIE",3.66769358855929
"Alberta",2001,"MEENA",4.41631814733293
"Manitoba",2009,"MINNEDOSA",4.08575897670604
"Alberta",2009,"MINNEDOSA",4.08575897670604
"Manitoba",2012,"MORRIS",3.79019419313101
"Alberta",2012,"MORRIS",3.79019419313101
"Manitoba",2009,"MUCHMORE",3.77339541415407
"Alberta",2009,"MUCHMORE",3.77339541415407
"Manitoba",2010,"NRG003",4.18254746260088
"Alberta",2010,"NRG003",4.18254746260088
"Manitoba",2010,"NRG010",4.3765371556294
"Alberta",2010,"NRG010",4.3765371556294
"Manitoba",2014,"NRG097",4.09962914866632
"Alberta",2014,"NRG097",4.09962914866632
"Manitoba",2017,"OBSIDIAN",3.72977625901423
"Alberta",2017,"OBSIDIAN",3.72977625901423
"Manitoba",2019,"ORTONA",3.7203441457678
"Alberta",2019,"ORTONA",3.7203441457678
"Alberta",2004,"OSLER",3.62404372912228
"Manitoba",2016,"PARAMOUNT",4.60956402284729
"Alberta",2016,"PARAMOUNT",4.60956402284729
"Manitoba",2015,"PARATA",3.58788135153946
"Alberta",2015,"PARATA",3.58788135153946
"Manitoba",2011,"PASTEUR",4.61422189429188
"Alberta",2011,"PASTEUR",4.61422189429188
"Alberta",2004,"PEACE",3.52713196701417
"Manitoba",2014,"PENHOLD",4.08160255308951
"Alberta",2014,"PENHOLD",4.08160255308951
"Alberta",2021,"PERFORM",4.09898912129135
"Alberta",1996,"PHIL",4.37626648159752
"Manitoba",2021,"PILARCLPLUS",3.69978105920637
"Manitoba",2012,"PLENTIFUL",3.68099901811189
"Alberta",2012,"PLENTIFUL",3.68099901811189
"Manitoba",2014,"PREVAIL",3.71635405626974
"Alberta",2014,"PREVAIL",3.71635405626974
"Manitoba",2013,"PROCLAIM",3.95513654530204
"Alberta",2013,"PROCLAIM",3.95513654530204
"Alberta",1998,"PRODIGY",3.70035029581656
"Manitoba",2018,"PROSPER",4.37650032813547
"Alberta",2002,"RAMA",3.80525385913987
"Manitoba",2016,"REDBERRY",3.77000974167408
"Alberta",2016,"REDBERRY",3.77000974167408
"Manitoba",2018,"REDNET",3.77326127290029
"Alberta",2018,"REDNET",3.77326127290029
"Manitoba",2020,"REDSTAR",3.72947044109644
"Alberta",2020,"REDSTAR",3.72947044109644
"Manitoba",2012,"REDWATER",3.62543945455053
"Alberta",2012,"REDWATER",3.62543945455053
"Alberta",1991,"REED",4.13338845664373
"Manitoba",2019,"REIGN",4.0880001784631
"Alberta",2019,"REIGN",4.0880001784631
"Manitoba",2021,"RIMBEY",4.18552298356247
"Alberta",2021,"RIMBEY",4.18552298356247
"Manitoba",2020,"RORKE",4.10177120847156
"Alberta",2020,"RORKE",4.10177120847156
"Manitoba",2016,"ROWYN",3.9852530084891
"Manitoba",2019,"RUSSELL",3.92472562021429
